Symbol,Return,Drawdown,Sharpe,Trades
300750,22.22,-21.56,0.47,19
600519,17.9,-27.97,0.43,20
300308,363.99,-35.51,1.77,16
601318,42.73,-19.68,0.91,14
601899,12.58,-13.91,0.36,12
600036,26.02,-18.29,0.71,15
300502,29.8,-45.78,0.48,5
000333,39.95,-15.75,1.03,12
600900,1.82,-11.47,-0.05,15
601166,2.7,-15.59,0.02,11
300059,78.06,-23.21,0.88,13
600030,-7.15,-20.95,-0.22,17
688256,304.6,-24.68,1.53,8
002475,33.62,-33.14,0.56,19
600276,7.71,-13.58,0.2,15
603259,-13.25,-34.8,-0.26,15
601398,27.58,-10.58,0.86,17
601138,-33.92,-53.02,-0.44,15
601211,15.13,-33.18,0.36,13
300274,26.22,-35.54,0.45,15
